2020年1月14日〜7月29日,,,,,
＊新型コロナウイルス感染症に関して、ダウンロードを可能とするNESIDに基づくデータとしては、「報告日」と「発症日」の2種類を提供することとしている。,,,,,
＊報告日は診断した医師から情報が「報告（＝届出）された日」、発症日は診断した医師から「発症日」として寄せられた情報、である。,,,,,
＊報告の確認に時間を要することから、直近の報告はグラフに反映されにくいため、解釈には注意が必要である。,,,,,
＊HER-SYSへのみ届け出られた症例については本集計に含めることが出来ない。,,,,,
,,,,,
,報告日（図１）,,,発症日（図2）,
,2020/1/14,,,2020/1/14,2
,2020/1/15,,,2020/1/15,
,2020/1/16,,,2020/1/16,
,2020/1/17,,,2020/1/17,1
,2020/1/18,,,2020/1/18,
,2020/1/19,,,2020/1/19,
,2020/1/20,,,2020/1/20,4
,2020/1/21,,,2020/1/21,
,2020/1/22,,,2020/1/22,2
,2020/1/23,,,2020/1/23,4
,2020/1/24,,,2020/1/24,3
,2020/1/25,,,2020/1/25,1
,2020/1/26,,,2020/1/26,2
,2020/1/27,,,2020/1/27,
,2020/1/28,,,2020/1/28,1
,2020/1/29,,,2020/1/29,3
,2020/1/30,,,2020/1/30,4
,2020/1/31,,,2020/1/31,5
,2020/2/1,2,,2020/2/1,9
,2020/2/2,,,2020/2/2,7
,2020/2/3,6,,2020/2/3,13
,2020/2/4,3,,2020/2/4,9
,2020/2/5,10,,2020/2/5,5
,2020/2/6,52,,2020/2/6,21
,2020/2/7,11,,2020/2/7,32
,2020/2/8,1,,2020/2/8,22
,2020/2/9,5,,2020/2/9,13
,2020/2/10,21,,2020/2/10,13
,2020/2/11,49,,2020/2/11,21
,2020/2/12,30,,2020/2/12,17
,2020/2/13,14,,2020/2/13,23
,2020/2/14,32,,2020/2/14,13
,2020/2/15,46,,2020/2/15,7
,2020/2/16,80,,2020/2/16,13
,2020/2/17,107,,2020/2/17,10
,2020/2/18,38,,2020/2/18,21
,2020/2/19,88,,2020/2/19,4
,2020/2/20,46,,2020/2/20,16
,2020/2/21,25,,2020/2/21,14
,2020/2/22,39,,2020/2/22,11
,2020/2/23,44,,2020/2/23,18
,2020/2/24,23,,2020/2/24,14
,2020/2/25,22,,2020/2/25,25
